stop_name,stop_lat,stop_lon
Krzesławice Młyn,50.0802213885,20.0568577775
Krzyszkowice Kasztanowa I,49.9863958325,20.024483471499998
Krzyszkowice Kasztanowa II,49.990363333000005,20.0242427775
Krzysztoforzyce Góra,50.1137788885,20.126654999499998
Krzysztoforzyce Pętla,50.115909722,20.138238333
Krzysztoforzyce Sklep,50.115366666,20.135135277
Krzysztoforzyce przy Dworze,50.115700000000004,20.131707222
Krzęcin Cmentarz,49.943529583,19.745501249500002
Krzęcin Kapliczka,49.945342361,19.733231944
Krzęcin Kościół,49.943693333,19.7413441665
Krzęcin Pętla,49.9529052775,19.7295716665
Krzęcin Sklep,49.940981527,19.7499824995
Krzęcin Szczęsna,49.9483626385,19.730394583
Krzęcin Szkoła,49.943812222,19.738990277
Ks. Luzara,50.062941944,20.194363610499998
Ks. Meiera,50.09783796233333,19.962126110666667
Ks. Łaczka,50.01014375,20.0288445825
Ks.Targosza,50.042764583,20.0528448605
Kuklińskiego,50.045038055199996,19.973521833
Kulerzów,49.9452951385,19.853748333
Kulerzów Wąwóz,49.945119444,19.8621866665
Kupały,50.094896666,20.016436111
Kurdwanów P+R,50.01406423575,19.949882847
Kurdwanów Szkoła,50.00539555500001,19.965959861
Kurzei,50.0951851385,19.9894312495
Kuźnicy Kołłątajowskiej,50.09808861075,19.9571262495
Kąpielowa,49.998073333,19.920676249750002
Kępa,50.055479166,20.065854444
Kępna,50.014650833,19.916642222
Kłokoczyn Machaczki,49.9963038885,19.632097916
Kłokoczyn Szkoła,49.995002916000004,19.6395213885
Kłuszyńska,49.9873912495,19.913449305
Lajkonika,50.062188749499995,19.8882080555
Landaua,49.988274536999995,19.962757592333332
Las Borkowski,50.00895374933333,19.908336156833332
Lasek Mogilski,50.0549170825,20.049557638499998
Lasówka,50.049373611,19.996333610500002
Lednica Górna Gory,49.977295972,20.092011944
Lednica Górna Świdówka,49.978405694,20.0862974995
Lekarska,50.086707083,19.938387083000002
Lesisko,50.054075972,20.0453112495
Leszka Białego,50.095817916499996,20.051266943999998
Leśmiana,50.068172777499996,19.8325326385
Libertowska,49.983575415999994,19.889765277000002
Libertów Dolny,49.979431250000005,19.910732361
Libertów Droga do Sidziny,49.971561110500005,19.876256943999998
Libertów Działy,49.9721554165,19.8912802775
Libertów Góra Libertowska,49.97620458275,19.908133263499998
Libertów Krzyżówka,49.9716616665,19.883819027
Libertów Szkoła,49.972581944,19.899189444
Libertów Zgodna,49.9782838885,19.909420138
Libertów Świetlista,49.9799741665,19.918359721999998
Lindego,50.08055842566667,19.870813425333335
Lipińskiego,50.030586249500004,19.9247338885
Lipowskiego,50.015096111,20.037180555
Lipska,50.04087898133333,19.983300647666667
Liszki Mazurowa,50.0388965275,19.773724305000002
Liszki Rondo,50.035012916,19.758369722
Liszki Tyniecka,50.034609444,19.7735927775
Liszki Urząd Gminy,50.038635185000004,19.768074999333333
Liszki Wołowska Droga,50.030974721999996,19.7492849995
Lubicz,50.06527842533333,19.951690184666663
Lublańska,50.085076388,19.962778333
Lubocza Bugaj,50.092208055,20.075473194
Lubocza Przychodnia,50.094906110500006,20.084104304999997
Lubocza SKA,50.088491296,20.073617962333334
Lubocza Szkoła,50.095288888333336,20.093479536666667
Lubocza Trafo,50.094363055,20.100515555
Luborzyca,50.1464555555,20.1093229165
Luborzyca Piotrowiec,50.150004860500005,20.1367901385
Luborzyca Przy Źródle,50.1429075,20.125008194
Luborzyca Szkoła,50.1436773605,20.1084555555
Lubostroń,50.014978796,19.901812129
Ludwinów,50.0432520825,19.934950555500002
Lusina Dobrzyczany,49.959094721499994,19.929215694
Lusina Dolna,49.973624166,19.933455833
Lusina Dwór,49.9737476385,19.927884722
Lusina Górka,49.955104999499994,19.9299186105
Lusina Krakowska,49.9753111105,19.9234811105
Lusina Krakówka,49.978629444,19.932269444
Lusina Kraśnik,49.9639373605,19.934993888
Lusina Kwiatowa,49.961604582999996,19.9191990275
Lusina Spacerowa,49.970479305,19.9305863885
Lusina Szkoła,49.9675830555,19.929893333
Lusina Zagrody,49.969240833,19.936159583
Lusina Zielona,49.953657082999996,19.933525555
Lusina Łany,49.9632137495,19.923124444
Maciejowice Góra,50.137062777,20.070119583
Maciejowice Pętla,50.142419444,20.071178611
Maciejowice Skrzyżowanie,50.140228194,20.074234721499998
Mackiewicza,50.09022481433333,19.943722962333336
Madejówka,50.0139011105,20.028153055
Magazynowa,50.0252299995,20.0382480555
Majora,50.088260647666665,19.964373888666668
Makowa,50.027211944,19.9662924995
Makowskiego,50.087650069,19.916784791
Makuszyńskiego,50.089416944,20.042941944
Malborska,50.02631074033334,19.973722222
Malborska Szkoła,50.0221399995,19.964914722
Malczewskiego,50.04887435133333,19.903119629
Malinowskiego,49.984111944000006,19.983573333000002
Marchołta,50.092911111,19.9878177775
Marszowice,50.187894443999994,20.0926052775
Marszowice Centrum,50.18090694375,20.09317465225
Marszowice Góry,50.1707440275,20.096033749500002
Marycjusza,50.098345416499996,20.025292360999998
Maszyce Remiza,50.179185972,19.861293333
Maszyce Sadzawka,50.1780177775,19.863419027
Maszyce Skrzyżowanie,50.180666666,19.855789444
Masłomiąca Długa,50.1579291665,20.013289444
Masłomiąca Koźlica,50.160395694,19.9895337495
